rougeLsum,length,str_em,Disambig-F1
43.78109452736319,97.0,66.66666666666666,33.33333333333333
50.52631578947368,38.0,66.66666666666666,66.66666666666666
50.0,43.0,100.0,75.0
35.80246913580247,63.0,16.666666666666664,22.22222222222222
30.43478260869565,12.0,50.0,50.0
23.188405797101453,10.0,25.0,25.0
17.94871794871795,17.0,50.0,50.0
37.03703703703704,7.0,100.0,100.0
25.454545454545457,11.0,100.0,100.0
26.573426573426577,78.0,50.0,50.0
25.225225225225223,41.0,0.0,10.0
31.999999999999996,25.0,50.0,83.33333333333333
64.40677966101694,22.0,50.0,50.0
10.0,3.0,16.666666666666664,38.888888888888886
8.51063829787234,2.0,50.0,54.166666666666664
23.684210526315788,15.0,33.33333333333333,33.33333333333333
18.91891891891892,8.0,50.0,75.0
50.0,32.0,50.0,66.66666666666666
36.36363636363637,15.0,50.0,50.0
0.0,2.0,0.0,0.0
