rougeLsum,length,str_em,Disambig-F1
38.82352941176471,70.0,33.33333333333333,0.0
38.961038961038966,21.0,66.66666666666666,66.66666666666666
43.33333333333333,56.0,100.0,25.0
34.66666666666667,70.0,50.0,16.666666666666664
29.78723404255319,13.0,50.0,50.0
32.098765432098766,22.0,25.0,25.37878787878788
16.216216216216214,19.0,50.0,0.0
45.714285714285715,14.0,100.0,100.0
25.454545454545457,11.0,100.0,100.0
24.0,60.0,100.0,50.0
24.528301886792452,36.0,0.0,10.0
23.076923076923077,3.0,50.0,64.28571428571428
32.786885245901644,24.0,50.0,44.44444444444445
27.027027027027025,17.0,0.0,16.666666666666664
28.125,19.0,50.0,54.166666666666664
24.528301886792455,18.0,33.33333333333333,33.33333333333333
20.253164556962027,13.0,50.0,75.0
36.19047619047619,59.0,0.0,33.33333333333333
35.08771929824561,17.0,50.0,50.0
0.0,2.0,0.0,0.0
